,Hunger,Potter,Twilight
222,False,True,False
223,False,False,False
224,False,False,False
225,True,True,False
226,False,False,False
227,True,True,False
228,True,False,False
229,False,False,False
230,False,True,False
231,False,True,False
232,False,False,False
233,False,True,False
234,False,True,False
235,True,True,False
236,False,True,False
237,False,True,False
238,False,True,False
239,False,False,False
240,False,True,False
241,True,True,False
242,False,True,False
243,False,True,False
244,False,True,False
245,False,True,False
246,False,True,False
247,False,False,False
248,False,False,False
249,False,True,True
250,False,False,True
251,False,True,False
252,False,False,False
253,False,True,False
254,True,False,False
255,True,True,False
256,False,True,False
257,False,False,True
258,False,True,True
259,False,True,True
260,False,True,False
261,True,True,False
262,False,False,False
263,False,True,False
264,False,True,True
265,False,False,True
266,False,False,False
267,False,False,False
268,False,False,False
269,False,False,True
270,False,True,False
271,False,False,False
272,False,False,False
273,False,False,False
274,False,True,False
275,False,False,False
276,True,False,False
277,False,False,False
278,False,True,True
279,False,False,False
280,False,False,False
281,False,True,False
282,False,True,False
283,False,True,False
284,False,True,False
285,True,False,True
286,False,False,False
287,False,False,True
288,False,True,False
289,False,True,False
290,False,True,False
291,False,False,True
292,False,True,False
293,False,True,True
294,False,True,True
295,False,True,True
296,False,True,False
297,False,False,False
298,False,False,False
299,False,True,False
300,False,False,False
301,False,False,True
302,False,False,True
303,False,False,False
304,False,True,False
305,False,True,False
306,False,False,False
307,False,True,False
308,False,True,False
309,False,False,False
310,False,False,False
311,True,True,True
312,False,True,False
313,False,True,True
314,False,False,False
315,False,False,False
316,False,True,True
317,False,True,False
318,False,False,False
319,False,True,False
320,False,False,False
321,False,True,True
322,False,False,False
323,False,False,False
324,False,True,False
325,False,True,False
326,True,True,False
327,False,True,False
328,False,True,True
329,False,True,False
330,False,True,False
331,False,False,True
332,False,True,False
333,False,True,False
334,False,False,False
335,False,True,False
336,True,False,True
337,True,True,False
338,False,True,False
339,False,True,True
340,False,True,False
341,False,False,False
342,False,False,False
343,False,True,False
344,False,True,False
345,False,True,False
346,False,False,False
347,False,False,False
348,False,True,True
349,False,True,False
350,False,True,False
351,False,True,False
352,False,False,False
353,False,False,False
354,False,False,False
355,False,False,True
356,False,True,True
357,False,False,False
358,False,False,False
359,False,False,False
360,False,False,False
361,True,True,True
362,False,False,False
363,True,False,True
364,False,False,True
365,False,False,False
366,False,False,False
367,False,True,False
368,False,False,False
369,False,True,False
370,True,True,False
371,False,True,False
372,False,False,False
373,True,True,False
374,False,False,False
375,False,True,True
376,False,False,True
377,False,True,False
378,False,False,False
379,False,True,False
380,True,True,False
381,False,False,False
382,False,True,False
383,False,True,False
384,False,False,False
385,False,True,True
386,False,True,False
387,False,True,True
388,False,True,False
389,False,False,False
390,False,False,False
391,False,False,False
392,False,True,False
393,True,True,True
394,False,True,False
395,False,False,False
396,False,False,False
397,False,True,False
398,False,True,False
399,False,False,False
400,False,True,False
401,False,False,False
402,False,True,False
403,False,True,False
404,False,True,False
405,False,True,True
406,False,False,False
407,False,False,False
408,False,True,False
409,False,True,False
410,False,False,False
411,False,True,False
412,False,False,False
413,False,True,False
414,False,True,False
415,False,True,False
416,False,True,False
417,False,False,False
418,False,False,True
419,False,True,False
420,False,True,False
421,False,False,False
422,False,False,False
423,False,True,False
424,False,True,False
425,False,False,False
426,False,False,True
427,False,False,False
428,False,True,False
429,False,True,False
430,False,True,True
431,False,True,False
432,False,True,True
433,False,True,False
434,False,True,False
435,True,False,True
436,False,False,False
437,False,False,False
438,False,True,False
439,False,True,False
440,False,True,False
441,False,False,False
442,False,False,False
443,False,True,False
444,False,False,False
445,False,True,False
446,False,True,False
447,False,False,False
448,False,True,False
449,False,False,False
450,False,True,False
451,False,True,False
452,False,True,False
453,False,True,False
454,False,False,False
455,False,False,False
456,False,True,False
457,False,True,False
458,True,True,True
459,False,False,False
460,True,True,False
461,False,False,False
462,False,False,False
463,False,True,False
464,False,False,False
465,False,False,False
466,False,True,False
467,True,True,True
468,False,True,False
469,False,True,False
470,False,True,False
471,False,True,False
472,False,False,False
473,False,True,False
474,True,True,False
475,False,True,False
476,False,True,False
477,False,False,False
478,True,True,True
479,False,False,False
480,False,True,False
481,False,True,True
482,False,True,False
483,False,False,False
484,False,False,False
485,False,True,True
486,False,True,False
487,False,True,False
488,False,False,False
489,False,False,False
490,False,True,False
491,False,False,False
492,False,False,False
493,False,False,False
494,False,False,True
495,True,False,False
496,False,False,False
497,False,False,False
498,False,False,False
499,False,True,False
500,False,True,False
501,False,True,False
502,False,True,False
503,False,False,False
504,False,False,False
505,False,False,False
506,False,False,False
507,True,True,False
508,False,True,False
509,False,True,False
510,False,False,False
511,False,False,False
512,False,False,False
513,False,True,False
514,False,False,True
515,False,True,False
516,False,False,False
517,False,True,False
518,False,False,False
519,False,False,False
520,True,True,False
521,False,True,False
522,False,True,True
523,False,False,False
524,False,False,False
525,False,True,False
526,False,False,True
527,False,True,False
528,False,True,False
529,False,False,False
530,False,True,False
531,False,True,False
532,False,True,False
533,False,True,True
534,False,False,False
535,False,False,False
536,False,False,False
537,False,False,False
538,False,True,False
539,False,False,False
540,False,False,False
541,False,False,False
542,False,True,False
543,False,False,False
544,True,True,False
545,False,False,False
546,False,False,True
547,False,False,False
548,False,False,False
549,False,False,False
550,False,True,False
551,False,False,True
552,False,False,False
553,False,True,False
554,False,False,False
555,False,False,False
556,False,True,False
557,False,False,False
558,False,True,False
559,False,True,False
560,False,False,True
561,False,True,False
562,False,False,False
563,False,True,False
564,False,False,False
565,False,True,False
566,False,False,False
567,False,True,False
568,False,False,False
569,False,True,False
570,False,True,False
571,False,True,False
572,False,True,False
573,False,False,True
574,False,False,False
575,True,False,True
576,True,True,False
577,False,False,False
578,False,False,False
579,False,False,False
580,False,True,False
581,False,True,True
582,False,False,False
583,False,False,False
584,False,True,False
585,False,False,True
586,False,False,False
587,False,False,False
588,False,False,False
589,False,True,False
590,False,True,False
591,True,False,False
592,False,False,False
593,True,False,True
594,False,False,False
595,True,True,True
596,False,True,False
597,False,False,False
598,False,False,False
599,False,True,False
600,False,False,False
601,False,True,False
602,False,True,False
603,False,False,False
604,False,True,False
605,False,True,False
606,False,True,False
607,False,True,True
608,False,True,False
609,False,False,False
610,False,False,False
611,False,True,False
612,False,True,True
613,False,False,False
614,False,True,True
615,False,False,False
616,False,False,False
617,False,True,False
618,False,True,False
619,False,True,False
620,False,False,False
621,False,False,False
622,True,True,True
623,False,True,False
624,False,True,False
625,False,True,False
626,False,True,False
627,False,False,False
628,False,True,False
629,False,True,False
630,False,False,True
631,False,True,False
632,True,True,False
633,False,True,False
634,False,False,False
635,False,True,False
636,False,True,False
637,False,False,False
638,False,False,False
639,False,True,False
640,False,False,False
641,False,True,True
642,False,True,False
643,False,True,False
644,False,True,True
645,False,True,False
646,False,True,False
647,False,True,False
648,False,False,False
649,False,False,False
650,False,True,False
651,False,False,False
652,False,False,False
653,False,True,False
654,True,True,False
655,False,False,False
656,False,True,False
657,False,True,False
658,False,True,True
659,False,False,False
660,False,True,False
661,False,False,False
662,False,False,False
663,True,True,True
664,True,False,False
665,False,True,False
666,False,False,False
667,False,True,False
668,False,True,False
669,False,True,True
670,True,False,False
671,True,False,False
672,True,True,False
673,False,False,True
674,False,False,False
675,False,False,True
676,False,True,True
677,True,True,True
678,False,False,False
679,False,True,False
680,False,True,False
681,False,False,False
682,False,False,False
683,True,True,False
684,False,False,False
685,False,True,False
686,False,False,False
687,False,False,False
688,False,True,False
689,True,True,False
690,False,False,False
691,False,True,False
692,False,False,True
693,False,False,False
694,True,False,True
695,False,True,False
696,False,True,False
697,True,True,True
698,False,True,True
699,False,True,False
700,True,True,True
701,False,True,True
702,False,True,False
703,False,True,True
704,True,True,False
705,False,False,False
706,False,True,False
707,False,False,False
708,True,True,True
709,False,True,False
710,False,False,False
711,False,True,False
712,False,False,False
713,False,False,True
714,False,True,False
715,False,False,False
716,False,True,True
717,False,False,False
718,True,False,True
719,False,True,False
720,True,True,True
721,False,True,False
722,False,False,False
723,False,True,False
724,True,True,True
725,False,False,False
726,False,False,False
727,False,True,False
728,False,False,True
729,True,False,True
730,False,True,False
731,False,True,False
732,False,False,False
733,True,False,False
734,False,True,True
735,False,True,False
736,False,True,False
737,True,True,True
738,False,False,False
739,False,True,False
740,True,False,True
741,True,False,True
742,False,True,False
743,False,True,False
744,True,True,True
745,False,True,False
746,False,True,False
747,False,False,False
748,False,True,False
749,False,False,False
750,True,True,True
751,True,False,True
752,False,True,False
753,False,False,False
754,False,False,False
755,False,True,False
756,False,False,False
757,False,True,True
758,False,False,False
759,False,False,False
760,False,False,False
761,False,True,False
762,False,True,False
763,False,False,True
764,False,True,False
765,True,True,False
766,True,True,False
767,False,False,False
768,False,True,True
769,True,True,True
770,False,True,False
771,False,True,False
772,False,False,False
773,False,True,True
774,False,True,False
775,False,False,True
776,True,True,True
777,False,False,True
778,False,True,False
779,False,True,True
780,False,True,False
781,False,False,False
782,False,True,False
783,False,False,False
784,False,False,False
785,False,True,False
786,False,True,False
787,False,False,False
788,False,False,False
789,True,False,False
790,False,True,False
791,False,False,False
792,False,False,False
793,False,False,False
794,False,False,True
795,False,False,False
796,True,False,False
797,False,True,False
798,False,False,False
799,True,False,False
800,True,False,True
801,False,False,False
802,False,True,False
803,False,False,True
804,False,True,False
805,False,False,False
806,False,True,False
807,False,False,False
808,False,False,False
809,False,False,False
810,False,True,True
811,False,True,False
812,False,False,True
813,True,False,False
814,False,True,False
815,True,True,False
816,False,True,True
817,False,False,False
818,False,True,True
819,False,True,False
820,False,True,False
821,False,False,False
822,False,False,False
823,False,False,False
824,False,False,False
825,False,False,False
826,False,False,False
827,False,False,False
828,False,True,True
829,False,False,False
830,False,False,False
831,True,False,True
832,False,False,False
833,False,False,False
834,False,True,False
835,False,True,False
836,False,False,False
837,False,False,False
838,False,True,False
839,False,True,False
840,False,False,True
841,False,True,True
842,False,True,False
843,False,True,False
844,True,False,False
845,False,False,False
846,False,True,True
847,False,False,False
848,False,False,False
849,False,True,False
850,False,False,False
851,False,False,False
852,False,True,False
853,False,False,False
854,False,False,False
855,True,False,False
856,False,True,False
857,False,False,True
858,True,True,False
859,False,True,False
860,True,True,False
861,False,True,True
862,False,True,False
863,False,False,False
864,False,False,False
865,True,True,False
866,False,True,True
867,False,False,False
868,True,True,True
869,False,True,True
870,False,True,False
871,False,True,False
872,False,False,False
873,False,False,False
874,False,True,True
875,False,False,False
876,False,False,True
877,False,False,False
878,False,False,False
879,True,False,False
880,False,False,False
881,True,False,False
882,False,False,False
883,True,False,False
884,True,True,False
885,True,True,False
886,False,True,False
887,True,False,True
888,False,True,False
889,False,False,True
890,False,True,True
891,False,True,True
892,False,True,True
893,False,False,False
894,False,False,False
895,False,True,False
896,False,True,True
897,False,False,True
898,False,True,True
899,True,True,False
900,False,True,True
901,False,False,True
902,False,True,True
903,True,True,True
904,True,True,True
905,False,True,False
906,False,True,False
907,False,False,False
908,False,True,False
909,False,True,False
910,False,False,True
911,True,True,False
912,False,True,False
913,False,True,False
914,False,True,False
915,False,False,False
916,False,False,False
917,True,True,False
918,False,False,False
919,False,False,False
920,False,False,False
921,False,True,False
922,False,True,False
923,False,True,True
924,False,False,False
925,False,False,True
926,True,False,True
927,True,True,True
928,False,False,True
929,False,False,False
930,False,True,False
931,False,True,False
932,False,False,False
933,False,True,False
934,False,True,False
935,False,True,False
936,False,True,True
937,False,False,True
938,False,True,False
939,False,False,False
940,False,True,False
941,True,True,False
942,False,True,True
943,False,True,False
944,False,True,False
945,False,True,False
946,False,True,True
947,False,True,False
948,False,True,False
949,False,False,False
950,False,True,False
951,False,False,False
952,False,True,False
953,False,False,False
954,True,False,True
955,True,True,True
956,True,False,True
957,False,True,True
958,False,False,False
959,False,True,True
960,False,True,True
961,False,False,True
962,False,False,False
963,False,False,True
964,True,True,True
965,False,False,False
966,False,True,True
967,False,False,False
968,True,True,False
969,True,True,False
970,False,True,True
971,True,True,False
972,False,True,True
973,False,True,False
974,True,True,True
975,False,True,False
976,False,False,False
977,False,True,True
978,False,True,False
979,False,True,False
980,False,True,False
981,False,False,True
982,False,False,False
983,False,False,False
984,False,False,False
985,False,False,False
986,True,True,False
987,True,False,True
988,False,False,False
989,False,False,True
990,False,True,False
991,True,False,True
992,False,True,True
993,True,True,False
994,False,False,False
995,True,False,False
996,False,False,False
997,True,False,False
998,True,True,True
999,False,False,True
1000,True,True,True
1001,False,False,False
1002,False,False,True
1003,False,False,False
1004,False,False,False
1005,False,False,False
1006,False,False,False
1007,False,False,False
1008,False,True,True
1009,False,True,False
1010,False,True,False
1011,True,True,True
1012,False,True,False
1013,False,True,False
1014,False,False,True
1015,False,True,False
1016,True,False,True
1017,True,True,False
1018,False,True,True
1019,False,True,True
1020,False,True,True
1021,False,True,True
1022,True,False,False
1023,False,True,False
1024,False,False,True
1025,True,False,True
1026,True,True,False
1027,False,False,False
1028,True,True,False
1029,False,True,False
1030,True,True,True
1031,False,False,False
1032,False,False,False
1033,False,False,False
1034,False,True,False
1035,True,False,False
1036,False,False,False
1037,False,True,False
1038,False,True,True
1039,False,False,False
1040,False,False,False
1041,True,False,False
1042,False,False,False
1043,False,False,True
1044,False,False,False
1045,False,True,False
1046,False,False,False
1047,False,True,False
1048,False,True,False
1049,False,True,False
1050,False,False,False
1051,False,True,True
1052,False,True,True
1053,False,True,False
1054,False,True,False
1055,False,True,False
1056,False,True,False
1057,False,False,False
1058,False,False,False
1059,True,False,True
1060,False,False,False
1061,False,True,False
1062,False,True,False
1063,False,True,False
1064,True,True,False
1065,False,True,False
1066,False,True,False
1067,True,True,False
1068,False,False,False
1069,True,True,True
1070,True,False,False
1071,True,True,False
1072,False,True,False
1073,False,True,False
1074,False,True,False
1075,False,False,False
1076,False,True,False
1077,False,False,True
1078,False,False,False
1079,False,False,False
1080,False,True,True
1081,False,False,False
1082,False,False,False
1083,False,True,False
1084,False,True,False
1085,False,True,False
1086,True,True,False
1087,True,True,False
1088,True,True,False
1089,False,True,True
1090,False,True,False
1091,True,True,False
1092,False,True,True
1093,False,False,False
1094,False,False,False
1095,False,True,False
1096,False,True,False
1097,False,True,False
1098,False,False,False
1099,False,False,False
1100,True,False,True
1101,False,True,False
1102,False,False,False
1103,False,False,False
1104,True,False,False
1105,False,False,True
1106,False,True,False
1107,False,True,False
1108,False,True,True
1109,False,True,False
1110,False,False,False
1111,False,True,False
1112,False,False,True
1113,False,True,False
1114,False,False,False
1115,True,True,True
1116,False,False,False
1117,True,True,True
1118,True,False,False
1119,False,True,False
1120,False,False,True
1121,False,True,False
1122,False,True,False
1123,True,False,False
1124,False,True,False
1125,False,True,False
1126,False,False,False
1127,False,True,False
1128,False,False,False
1129,True,False,True
1130,False,True,False
1131,True,False,True
1132,False,True,True
1133,True,True,False
1134,True,True,True
1135,True,True,True
1136,False,True,False
1137,False,True,False
1138,False,False,True
1139,False,True,True
1140,False,False,False
1141,False,False,False
1142,False,False,True
1143,False,True,False
1144,False,True,False
1145,False,True,False
1146,False,True,False
1147,False,True,True
1148,False,True,True
1149,True,True,False
1150,False,True,False
1151,False,True,True
1152,False,True,False
1153,False,True,True
1154,False,True,False
1155,False,False,True
1156,False,False,False
1157,True,True,False
1158,False,True,True
1159,True,True,False
1160,False,True,False
1161,False,False,False
1162,False,False,False
1163,False,True,False
1164,True,False,False
1165,False,True,True
1166,False,False,False
1167,True,False,False
1168,False,True,False
1169,False,False,False
1170,False,True,True
1171,False,True,True
1172,False,False,False
1173,True,True,True
1174,False,False,True
1175,False,True,False
1176,False,True,False
1177,False,True,True
1178,False,True,False
1179,False,False,False
1180,True,True,False
1181,False,True,True
1182,False,False,False
1183,True,False,False
1184,False,False,True
1185,False,False,True
1186,False,False,False
1187,False,True,True
1188,False,True,False
1189,False,True,True
1190,True,False,True
1191,True,True,True
1192,False,True,False
1193,False,True,False
1194,False,True,True
1195,False,True,False
1196,True,True,False
1197,False,True,False
1198,True,True,True
1199,False,True,True
1200,False,True,False
1201,False,True,False
1202,False,False,False
1203,False,True,False
1204,True,True,True
1205,False,True,False
1206,False,False,False
1207,False,True,False
1208,False,True,False
1209,True,True,True
1210,False,False,False
1211,False,True,False
1212,False,False,False
1213,True,False,True
1214,True,True,True
1215,False,True,False
1216,True,False,True
1217,False,False,False
1218,True,True,True
1219,False,True,False
1220,False,True,False
1221,False,True,True
1222,False,True,False
1223,False,False,False
1224,True,True,True
1225,False,True,False
1226,False,True,True
1227,False,True,False
1228,False,False,True
1229,False,True,False
1230,False,True,False
1231,False,True,False
1232,False,False,False
1233,False,True,False
1234,False,False,True
1235,True,True,True
1236,False,False,False
1237,False,True,False
1238,False,False,False
1239,True,True,True
1240,False,True,False
1241,False,False,True
1242,False,False,False
1243,False,True,True
1244,False,False,True
1245,False,False,False
1246,False,True,False
1247,True,True,True
1248,False,False,False
1249,False,True,False
1250,False,True,False
1251,False,False,False
1252,True,True,True
1253,True,False,True
1254,False,True,True
1255,False,True,False
1256,False,False,True
1257,False,False,False
1258,False,True,False
1259,False,False,False
1260,True,True,False
1261,False,False,False
1262,False,False,False
1263,True,False,False
1264,False,False,True
1265,False,True,True
1266,False,True,False
1267,False,False,False
1268,True,False,False
1269,True,False,False
1270,False,False,False
1271,False,False,True
1272,True,False,True
1273,True,False,True
1274,True,True,False
1275,False,False,False
1276,False,True,True
1277,True,False,True
1278,False,False,False
1279,False,True,False
1280,False,False,False
1281,False,True,True
1282,False,False,False
1283,True,False,True
1284,True,False,True
1285,True,False,False
1286,False,True,True
1287,False,False,True
1288,False,True,False
1289,False,True,False
1290,False,True,False
1291,True,False,True
1292,False,True,False
1293,True,False,False
1294,False,True,False
1295,False,True,True
1296,False,False,False
1297,False,True,True
1298,False,True,False
1299,False,True,False
1300,False,True,False
1301,True,False,True
1302,False,False,False
1303,False,False,False
1304,False,True,True
1305,False,True,True
1306,False,True,False
1307,False,True,True
1308,False,True,True
1309,True,False,False
1310,False,False,False
1311,True,False,True
1312,True,False,True
1313,False,True,False
1314,False,True,False
1315,False,False,True
1316,False,True,False
1317,True,False,True
1318,False,True,False
1319,False,False,False
1320,False,True,False
1321,False,False,False
1322,False,True,False
1323,False,True,True
1324,False,False,False
1325,False,True,False
1326,False,False,True
1327,False,False,True
1328,False,False,True
1329,False,True,False
1330,False,True,True
1331,False,True,False
1332,False,False,False
1333,False,True,False
1334,False,True,False
1335,True,False,False
1336,True,False,False
1337,True,False,True
1338,False,True,True
1339,False,False,False
1340,True,False,True
1341,False,True,True
1342,False,True,True
1343,False,True,False
1344,False,False,False
1345,True,True,True
1346,True,False,True
1347,False,True,False
1348,False,False,True
1349,True,True,False
1350,False,True,False
1351,False,False,True
1352,True,True,True
1353,False,False,False
1354,True,False,True
1355,False,True,True
1356,False,True,True
1357,True,False,False
1358,False,True,True
1359,False,True,False
1360,False,True,False
1361,True,False,False
1362,False,True,True
1363,False,True,False
1364,True,False,True
1365,False,True,True
1366,False,False,False
1367,False,False,False
1368,False,False,False
1369,False,True,False
1370,False,False,False
1371,False,False,False
1372,False,True,False
1373,False,True,False
1374,False,True,False
1375,False,False,True
1376,False,True,False
1377,True,False,True
1378,False,True,True
1379,True,True,False
1380,False,False,True
1381,False,True,False
1382,False,False,False
1383,False,True,False
1384,True,False,False
1385,True,True,True
1386,True,False,True
1387,True,True,False
1388,False,False,True
1389,True,True,True
1390,False,False,False
1391,False,False,False
1392,False,False,False
1393,False,True,False
1394,False,False,True
1395,False,False,True
1396,False,True,False
1397,False,True,True
1398,False,False,False
1399,False,False,True
1400,True,True,False
1401,False,False,True
1402,False,True,False
1403,False,True,True
1404,True,True,True
1405,False,False,False
1406,False,False,False
1407,True,False,False
1408,False,False,True
1409,False,True,False
1410,True,False,True
1411,False,True,False
1412,False,False,False
1413,False,True,False
1414,False,True,True
1415,True,True,True
1416,False,True,False
1417,False,False,False
1418,False,True,False
1419,True,False,True
1420,False,True,False
1421,True,False,True
1422,True,False,True
1423,False,True,True
1424,False,True,False
1425,False,True,False
1426,True,True,True
1427,False,True,False
1428,True,False,False
1429,False,False,True
1430,True,False,False
1431,True,True,False
1432,False,True,True
1433,False,True,False
1434,True,False,False
1435,False,True,False
1436,False,False,True
1437,True,True,True
1438,False,True,False
1439,False,True,True
1440,False,True,False
1441,False,False,False
1442,False,True,True
1443,True,False,True
1444,False,True,False
1445,True,True,True
1446,False,False,True
1447,False,False,False
1448,False,False,False
1449,True,True,False
1450,False,False,True
1451,False,False,True
1452,False,False,True
1453,False,False,True
1454,True,False,True
1455,False,True,False
1456,True,True,True
1457,False,False,False
1458,False,False,True
1459,True,False,True
1460,False,False,False
1461,False,True,False
1462,False,False,False
1463,False,False,True
1464,False,False,True
1465,False,False,True
1466,False,True,False
1467,False,False,False
1468,False,True,True
1469,False,False,True
1470,False,False,False
1471,False,False,True
1472,False,False,True
1473,False,False,False
1474,False,True,True
1475,False,False,True
1476,False,False,False
1477,False,False,True
1478,True,False,True
1479,False,False,True
1480,False,False,True
1481,False,True,False
1482,True,True,True
1483,True,False,False
1484,False,True,True
1485,True,False,False
1486,False,False,True
1487,True,True,True
1488,False,False,True
1489,False,True,False
1490,True,False,True
1491,False,True,True
1492,False,False,False
1493,False,True,False
1494,False,False,False
1495,False,False,False
1496,False,True,True
1497,False,False,True
1498,True,False,True
1499,False,True,True
1500,True,True,True
1501,False,False,True
1502,False,False,True
1503,False,False,False
1504,True,False,True
1505,False,True,True
1506,True,False,True
1507,False,False,True
1508,False,False,False
1509,False,False,False
1510,False,False,False
1511,False,True,False
1512,False,True,False
1513,True,False,False
1514,True,False,False
1515,True,False,False
1516,False,True,False
1517,True,False,True
1518,True,False,True
1519,False,False,True
1520,False,True,True
1521,False,False,True
1522,False,True,False
1523,False,True,False
1524,False,False,False
1525,False,True,True
1526,False,True,False
1527,False,True,False
1528,False,False,True
1529,True,False,False
1530,False,True,False
1531,False,False,False
1532,False,False,True
1533,False,True,False
1534,False,False,True
1535,False,True,True
1536,True,True,False
1537,False,False,True
1538,True,True,True
1539,True,False,True
1540,False,False,True
1541,True,False,False
1542,False,True,False
1543,False,True,True
1544,False,True,False
1545,True,False,True
1546,False,True,False
1547,False,True,True
1548,False,False,False
1549,False,False,True
1550,False,False,False
1551,False,False,True
1552,False,True,False
1553,False,True,False
1554,False,False,True
1555,False,True,False
1556,False,True,False
1557,False,True,True
1558,True,True,True
1559,False,True,False
1560,False,False,False
1561,True,False,False
1562,False,False,True
1563,False,True,False
1564,False,False,True
1565,True,True,True
1566,False,False,False
1567,False,False,False
1568,True,True,False
1569,False,True,True
1570,False,False,False
1571,False,True,False
1572,True,True,True
1573,False,False,True
1574,False,False,True
1575,False,False,False
1576,False,True,False
1577,True,True,True
1578,True,True,True
1579,False,True,False
1580,False,False,True
1581,True,True,False
1582,False,True,False
1583,False,False,True
1584,False,True,False
1585,True,False,True
1586,False,True,False
1587,False,False,True
1588,False,False,True
1589,False,True,False
1590,False,False,False
1591,False,True,False
1592,False,False,True
1593,True,True,False
1594,False,False,False
1595,False,False,False
1596,False,True,False
1597,False,True,True
1598,True,True,True
1599,False,False,False
1600,False,True,False
1601,True,False,False
1602,True,True,False
1603,False,False,False
1604,False,True,True
1605,True,False,True
1606,False,False,False
1607,False,True,True
1608,True,False,True
1609,False,True,True
1610,False,True,False
1611,False,True,False
1612,False,True,False
1613,False,True,False
1614,True,True,True
1615,True,False,True
1616,False,False,True
1617,True,False,False
1618,False,False,True
1619,False,False,False
1620,False,False,False
1621,True,False,True
1622,True,True,False
1623,False,True,False
1624,False,False,True
1625,False,False,False
1626,False,True,False
1627,False,False,False
1628,False,False,True
1629,False,True,True
1630,False,False,True
1631,True,True,False
1632,False,True,False
1633,False,False,False
1634,True,True,True
1635,False,True,False
1636,True,True,False
1637,False,False,False
1638,False,False,True
1639,False,True,False
1640,False,True,True
1641,False,False,False
1642,False,False,False
1643,True,True,True
1644,True,True,True
1645,False,True,True
1646,False,True,False
1647,False,False,False
1648,True,False,False
1649,True,True,False
1650,True,True,True
1651,False,True,False
1652,False,True,False
1653,False,False,True
1654,False,False,True
1655,False,True,False
1656,True,False,True
1657,False,False,False
1658,True,True,True
1659,False,True,False
1660,False,False,True
1661,False,True,False
1662,False,False,True
